word,meaning,total,correct
artbook,原画,0,0
game_cg,游戏CG,0,0
comic,漫画,0,0
4koma,四格,0,0
animated_gif,gif格式图片,0,0
dakimakura,抱枕,0,0
cosplay,角色扮演,0,0
crossover,穿越,0,0
dark,暗的,0,0
light,亮的,0,0
night,晚上,0,0
guro,猎奇,0,0
realistic,写实,0,0
photo,照片,0,0
real,真实,0,0
landscape,风景,0,0
cityscape,城市风景,0,0
science_fiction,科技幻想,0,0
original,原创,0,0
parody,拙劣的模仿,0,0
personification,拟人,0,0
lowres,低分辨率,0,0
highres,高分辨率,0,0
absurdres,超高分辨率,0,0
incredibly_absurdres,极高分辨率,0,0
huge_filesize,超级高分辨率/大文件,0,0
wallpaper,壁纸,0,0
pixel_art,点阵图,0,0
monochrome,单色图片,0,0
colorful,色彩斑斓的,0,0
optical_illusion,视觉错误,0,0
fine_art_parody,名画模仿,0,0
sketch,素描,0,0
traditional_media,传统媒体（基本上是手绘稿）,0,0
watercolor,水彩绘,0,0
silhouette,剪影,0,0
covr,封面,0,0
album,专辑,0,0
sample,图上有sample字样,0,0
back,背影像,0,0
bust,半身像,0,0
profile,侧面绘,0,0
expressions,表情绘（各种表情）,0,0
everyone,一部作品中的主要人物集齐,0,0
column_lineup,一列列小图组成大图,0,0
transparent_background,透明的背景(.png),0,0
simple_background,简单的背景(无背景),0,0
gradient_background,渐变的背景,0,0
zoom_layer,背景是前景的放大版,0,0
witch,女巫,0,0
miko,巫女,0,0
maid,女仆,0,0
waitress,女服务员,0,0
cheerleader,拉拉队,0,0
doll,人偶,0,0
yukkuri_shiteitte_ne,油库里（馒头样人物，东方系列）,0,0
ninja,忍者/日本武士,0,0
nun,修女,0,0
mermaid,美人鱼,0,0
fairy,小精灵,0,0
elf,妖精,0,0
angel,天使,0,0
monster,怪物,0,0
devil,魔鬼（撒旦）,0,0
vampire,吸血鬼,0,0
magical_girl,魔法少女,0,0
furry,兽人,0,0
male,男人,0,0
female,女人,0,0
giantess,女巨人,0,0
